id	name	bbx
3032	Vasvár	16.7156991,46.9870492,16.8375004,47.0903853
2834	Acsád	16.7159855,47.3078103,16.7855758,47.3538497
1082	Kistolmács	16.716231,46.4667105,16.773493,46.5200945
1229	Zalatárnok	16.7167111,46.6790173,16.8028832,46.7409331
3016	Tanakajd	16.7175717,47.1487569,16.7536719,47.2151659
2624	Egyházasfalu	16.7182297,47.4339713,16.7998827,47.4877601
1006	Boncodfölde	16.7192755,46.84727,16.7750396,46.8820197
1193	Várfölde	16.7198784,46.5451935,16.7792052,46.6102333
3031	Vasszilvágy	16.725466,47.285568,16.7955865,47.3244393
2850	Bük	16.726215,47.3560652,16.8013043,47.4141368
997	Bánokszentgyörgy	16.7316995,46.5102195,16.8217062,46.6135577
1055	Hottó	16.7319328,46.814247,16.7645882,46.8614551
1115	Nagylengyel	16.7331708,46.7639546,16.8114148,46.7931424
2753	Völcsej	16.7346359,47.4816227,16.777563,47.5288002
1174	Szentpéterfölde	16.734829,46.5933078,16.803264,46.6351983
1130	Ormándlak	16.7348846,46.7419697,16.7714416,46.7693436
3030	Vasszécseny	16.7354224,47.1516688,16.8103907,47.1965645
3018	Telekes	16.7376053,46.9254339,16.7879256,46.9609543
1056	Iborfia	16.7394467,46.7191678,16.7602594,46.7439389
1171	Szentkozmadombja	16.7419508,46.6548817,16.7710979,46.6875054
2956	Nemeskolta	16.7423298,47.1248943,16.7979903,47.1619268
1024	Dobronhegy	16.742717,46.8091251,16.7685249,46.8281746
3035	Vát	16.7451649,47.2481202,16.827531,47.3029849
2633	Fertőhomok	16.7454632,47.5959778,16.790259,47.6814114
2844	Bozzai	16.7460988,47.1939095,16.7821607,47.2230004
999	Becsehely	16.7469828,46.4161048,16.8385742,46.4873884
2704	Pinnye	16.747966,47.5726134,16.8011481,47.6088693
2882	Gyanógeregye	16.7483688,47.1026146,16.7925938,47.1367782
2724	Sarród	16.7490318,47.6218887,16.9131182,47.7216587
2690	Nagylózs	16.7496696,47.5396309,16.8316148,47.5970725
1007	Borsfa	16.7498995,46.482294,16.800448,46.5238833
1204	Zalaboldogfa	16.7515037,46.8819101,16.802254,46.9289605
1180	Teskánd	16.7526611,46.8268846,16.7882505,46.8638503
2976	Petőmihályfa	16.7530817,46.9605261,16.8051206,47.0061472
2982	Püspökmolnári	16.7531763,47.0753842,16.8337367,47.1188621
3048	Tormásliget	16.7534807,47.4146125,16.8122881,47.4436513
